query_id,query_text,query_type,recall@5,recall@10,precision@5,precision@10,mrr,ndcg@5,ndcg@10,latency_ms,relevance_scores
0,red dress for women,specific,0.25,0.5,1.0,1.0,1.0,1.0,0.9787930706003494,617.6776885986328,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3]"
1,blue shirt for men,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,412.65869140625,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2,black t-shirt,specific,0.25,0.5,1.0,1.0,1.0,0.915209948681596,0.9118499466982855,28477.954864501953,"[2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2]"
3,white jeans for women,specific,0.25,0.5,1.0,1.0,1.0,0.8930068676327362,0.9305687780632227,1069.7128772735596,"[2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
4,grey jacket for men,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1041.5980815887451,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2]"
5,pink top for women,specific,0.25,0.5,1.0,1.0,1.0,1.0,0.9517825025223118,1614.8040294647217,"[3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2]"
6,casual dress,general,0.4,0.6,0.8,0.6,1.0,0.8539316501572937,0.6969383549984332,1292.0336723327637,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]"
7,summer shirt,general,0.2222222222222222,0.5,0.8,0.9,1.0,0.830419897363192,0.8899541168509599,1401.188850402832,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
8,winter jacket,general,0.3125,0.5,1.0,0.8,1.0,1.0,0.8630152897016883,2532.0587158203125,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]"
9,formal pants,general,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.3249645233154,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,red casual dress,attribute,0.25,0.5,1.0,1.0,1.0,1.0,0.9681896059005243,724.8589992523193,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
11,blue formal shirt,attribute,0.25,0.5,1.0,1.0,1.0,0.7480731135642685,0.8734889378588505,720.2761173248291,"[2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2]"
12,black leather shoes,specific,0.25,0.5,1.0,1.0,1.0,0.9513105500524311,0.968403878543483,756.9859027862549,"[3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 2, 2, 1, 1, 3]"
13,white running shoes,specific,0.25,0.5,1.0,1.0,1.0,0.8895855827552858,0.9224501592321084,930.034875869751,"[3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]"
14,brown boots for men,specific,0.25,0.5,1.0,1.0,1.0,0.8510488233360477,0.8440660278582902,1040.9042835235596,"[3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 2, 3, 2, 1, 3, 3, 3, 2]"
15,red heels for women,specific,0.25,0.5,1.0,1.0,1.0,0.9562649741625525,0.9051835495894202,1005.6142807006836,"[3, 3, 3, 3, 2, 3, 3, 2, 2, 2, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2]"
16,casual sandals,general,0.29411764705882354,0.5294117647058824,1.0,0.9,1.0,1.0,0.9305687780632227,999.798059463501,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]"
17,sports shoes,general,0.2631578947368421,0.47368421052631576,1.0,0.9,1.0,1.0,0.9363792118010483,895.8089351654053,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
18,black leather wallet,specific,0.25,0.5,1.0,1.0,1.0,1.0,0.9502477611198407,736.644983291626,"[3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 1, 3, 2, 2, 1, 2, 2, 1]"
19,silver watch,specific,0.2,0.4666666666666667,0.6,0.7,1.0,0.5773584151532217,0.5929543020223784,881.3996315002441,"[2, 1, 0, 0, 2, 2, 2, 1, 0, 1, 2, 2, 2, 2, 0, 0, 1, 2, 1, 2]"
20,brown bag for women,specific,0.25,0.5,1.0,1.0,1.0,1.0,0.9305755731226613,735.4106903076172,"[3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2]"
21,sunglasses,general,0.25,0.5,1.0,1.0,1.0,1.0,1.0,711.3142013549805,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
