query_id,query_text,query_type,recall@5,recall@10,precision@5,precision@10,mrr,ndcg@5,ndcg@10,relevance_scores
0,red dress for women,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
1,blue shirt for men,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2,black t-shirt,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
3,white jeans for women,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
4,grey jacket for men,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
5,pink top for women,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
6,casual dress,general,0.2727272727272727,0.6363636363636364,0.6,0.7,1.0,0.6164336326286644,0.6874708847784536,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0]"
7,summer shirt,general,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,winter jacket,general,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,formal pants,general,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,red casual dress,attribute,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
11,blue formal shirt,attribute,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
12,black leather shoes,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
13,white running shoes,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
14,brown boots for men,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
15,red heels for women,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
16,casual sandals,general,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
17,sports shoes,general,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
18,black leather wallet,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
19,silver watch,specific,0.29411764705882354,0.47058823529411764,1.0,0.8,1.0,0.8573424901769816,0.7194740793740138,"[3, 1, 3, 3, 3, 1, 3, 0, 0, 3, 3, 1, 1, 3, 3, 3, 3, 3, 0, 3]"
20,brown bag for women,specific,0.25,0.5,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
21,sunglasses,general,0.2631578947368421,0.5263157894736842,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
