query_id,query_text,query_type,recall@5,recall@10,precision@5,precision@10,mrr,ndcg@5,ndcg@10,relevance_scores
0,red dress for women,specific,0.25,0.507319939418114,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
1,blue shirt for men,specific,0.25,0.501559945203362,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2,black t-shirt,specific,0.25,0.5060111501174321,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
3,white jeans for women,specific,0.25,0.50969909852162,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
4,grey jacket for men,specific,0.25,0.501818249672071,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
5,pink top for women,specific,0.25,0.5052475643163223,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
6,casual dress,general,0.2727272727272727,0.6441508550237394,0.6051833402237055,0.7,1.0,0.6217589413674127,0.6934098772612846,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0]"
7,summer shirt,general,0.25,0.5036636184329369,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,winter jacket,general,0.25,0.5019967378215836,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,formal pants,general,0.25,0.5004645041272,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,red casual dress,attribute,0.25,0.5006505159298528,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
11,blue formal shirt,attribute,0.25,0.5080839734811646,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
12,black leather shoes,specific,0.25,0.5068423302651216,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
13,white running shoes,specific,0.25,0.5049517691011127,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
14,brown boots for men,specific,0.25,0.5025877998160002,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
15,red heels for women,specific,0.25,0.5052006802117781,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
16,casual sandals,general,0.25,0.5096958462776456,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
17,sports shoes,general,0.25,0.5089482735042765,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
18,black leather wallet,specific,0.25,0.5008849250205192,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
19,silver watch,specific,0.2941176470588235,0.4736501678189483,1.0,0.8,1.0,0.8845708060984279,0.74232383633222,"[3, 1, 3, 3, 3, 1, 3, 0, 0, 3, 3, 1, 1, 3, 3, 3, 3, 3, 0, 3]"
20,brown bag for women,specific,0.25,0.5082873750915193,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
21,sunglasses,general,0.2631578947368421,0.5320283798227183,1.0,1.0,1.0,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
